,title,doi,no_citations,in_dataset,year
790,Improving galaxy morphologies for SDSS with Deep Learning,10.1093/mnras/sty338,1,No,2018
789,SDSS-IV MaNGA: global stellar population and gradients for about 2000 early-type and spiral galaxies on the mass–size plane,10.1093/mnras/sty334,1,No,2018
788,SDSS-IV MaNGA PyMorph Photometric and Deep Learning Morphological Catalogues and implications for bulge properties and stellar angular momentum,10.1093/mnras/sty3135,1,No,2019
787,Evidence for radial variations in the stellar mass-to-light ratio of massive galaxies from weak and strong lensing,10.1093/mnras/sty2262,1,No,2018
786,The stellar population and initial mass function of NGC 1399 with MUSE,10.1093/mnras/sty1434,1,No,2018
785,Recovering stellar population parameters via two full-spectrum fitting algorithms in the absence of model uncertainties,10.1093/mnras/sty1245,1,No,2018
784,KINETyS II: Constraints on spatial variations of the stellar initial mass function from K-band spectroscopy,10.1093/mnras/sty1242,1,No,2018
783,MUSE observations of M87: radial gradients for the stellar initial-mass function and the abundance of sodium,10.1093/mnras/sty1092,1,No,2018
1009,Kinematic model for the opening of the Sea of Japan and the bending of the Japanese islands,10.1130/0091-7613(1987)15<53:KMFTOO>2.0.CO;2,1,No,1987
1011,"Late Cenozoic deformation and uplift of the NE Tibetan Plateau: Evidence from high-resolution magnetostratigraphy of the Guide Basin, Qinghai Province, China",10.1130/B25727.1,1,No,2005
675,Muc5ac: a critical component mediating the rejection of enteric nematodes,10.1084/jem.20102057,1,No,2011
1232,DISTANCE-BASED REDUNDANCY ANALYSIS: TESTING MULTISPECIES RESPONSES IN MULTIFACTORIAL ECOLOGICAL EXPERIMENTS,10.1890/0012-9615(1999)069[0001:DBRATM]2.0.CO;2,1,No,1999
1240,Habituation as a Model of Human Aging,10.2190/BR5F-H8B7-2B9X-53U8,1,No,1981
1239,Compounds from Wild Mushrooms with Antitumor Potential,10.2174/1871520611009050424,1,No,2010
1238,Geometrically and acoustically optimized codebook for unique mapping from formants to vocal-tract shape,10.21437/Eurospeech.1997-662,1,No,2022
1237,"Evolution sedimentaire et tectonique du graben cenozoique de la Wei He (Province du Shaanxi, Chine du Nord)",10.2113/gssgfbull.IV.6.979,1,No,1988
1236,Early Social-Emotional Functioning and Public Health: The Relationship Between Kindergarten Social Competence and Future Wellness,10.2105/AJPH.2015.302630,1,No,2015
1235,Delivering on a promise: integrating species traits to transform descriptive community ecology into a predictive science,10.1899/12-092.1,1,No,2013
1234,Community ecology in the age of multivariate multiscale spatial analysis,10.1890/11-1183.1,1,No,2012
1233,ANALYZING BETA DIVERSITY: PARTITIONING THE SPATIAL VARIATION OF COMMUNITY COMPOSITION DATA,10.1890/05-0549,1,No,2005
1231,Microearthquake location: A nonlinear approach that makes use of a simplex stepping procedure,10.1785/BSSA0780020799,1,No,1988
1012,Cenozoic exhumation and deformation of northeastern Tibet and the Qinling: Is Tibetan lower crustal flow diverging around the Sichuan Basin?,10.1130/B25805.1,1,No,2006
1230,Automated Seismic Event Location by Travel-Time Stacking: An Application to Mining Induced Seismicity,10.1785/0220120191,1,No,2013
1229,Real-time Earthquake Location Using Kirchhoff Reconstruction,10.1785/0120040123,1,No,2005
1228,"A Double-Difference Earthquake Location Algorithm: Method and Application to the Northern Hayward Fault, California",10.1785/0120000006,1,No,2000
1227,"Total, soluble, and insoluble dietary fibre contents of wild growing edible mushrooms",10.17221/226/2013-CJFS,1,No,2014
1226,Two cases of keratosis follicularis squamosa (Dohi) caused by swimsuit friction,10.1684/ejd.2013.2002,1,No,2013
1225,INTESTINAL HELMINTH INFECTIONS ARE ASSOCIATED WITH INCREASED INCIDENCE OF PLASMODIUM FALCIPARUM MALARIA IN THAILAND,10.1645/0022-3395(2002)088[0055:IHIAAW]2.0.CO;2,1,No,2002
1224,The Human Footprint and the Last of the Wild,10.1641/0006-3568(2002)052[0891:THFATL]2.0.CO;2,1,No,2002
1223,ESTIMATED COMPOSITION OF DIETS FED TO CAPTIVE BLACK-AND-WHITE RUFFED LEMURS (<i>VARECIA VARIEGATA</i>) AT 33 U.S. ZOOLOGICAL INSTITUTIONS,10.1638/2015-0080.1,1,No,2016
1241,ON EXTREMAL QUASIMODULAR FORMS,10.2206/kyushujm.60.457,1,No,2006
1242,Landscape Filters and Species Traits: Towards Mechanistic Understanding and Prediction in Stream Ecology,10.2307/1468026,1,No,1997
1243,Evaluation of the use of landscape classifications for the prediction of freshwater biota: synthesis and recommendations,10.2307/1468113,1,No,2000
1244,Correspondence between regional delineations and spatial patterns in macroinvertebrate assemblages of boreal headwater streams,10.2307/1468478,1,No,2002
1261,Exacerbation of Oxazolone Colitis by Infection with the Helminth Hymenolepis diminuta,10.2353/ajpath.2010.100537,1,No,2010
1260,The Rise of Childhood Type 1 Diabetes in the 20th Century,10.2337/diabetes.51.12.3353,1,No,2002
1259,Hypoglycemia and Cardiovascular Risk: Is There a Major Link?,10.2337/dcS15-3014,1,No,2016
1258,"Trends in the Incidence of Hospitalization for Major Diabetes-Related Complications in People With Type 1 and Type 2 Diabetes in Australia, 2010–2019",10.2337/dc21-2268,1,No,2022
1257,Long-term Glycemic Variability and Risk of Adverse Outcomes: A Systematic Review and Meta-analysis,10.2337/dc15-1188,1,No,2015
1256,Hypoglycemia and Risk of Cardiovascular Disease and All-Cause Mortality in Insulin-Treated People With Type 1 and Type 2 Diabetes: A Cohort Study,10.2337/dc14-0920,1,No,2015
1255,Similarity of the Impact of Type 1 and Type 2 Diabetes on Cardiovascular Mortality in Middle-Aged Subjects,10.2337/dc07-2124,1,No,2008
1254,The Sterol Composition of<i>Volvariella Volvacea</i>and other Edible Mushrooms,10.2307/3793309,1,No,1985
1253,Inference in Linear Time Series Models with some Unit Roots,10.2307/2938337,1,No,1990
1252,Managing Emotions in Medical School: Students' Contacts with the Living and the Dead,10.2307/2786904,1,No,1989
1251,Epicureanism and Horace,10.2307/2707047,1,No,1949
1250,Emotional Capital and Professional Socialization: The Case of Mortuary Science Students (and Me),10.2307/2695852,1,No,1999
1249,A General Coefficient of Similarity and Some of Its Properties,10.2307/2528823,1,No,1971
1248,Distribution of the Estimators for Autoregressive Time Series With a Unit Root,10.2307/2286348,1,No,1979
1247,The Fate of Idealism in Medical School,10.2307/2088623,1,No,1958
1246,Investigating Causal Relations by Econometric Models and Cross-spectral Methods,10.2307/1912791,1,No,1969
1245,Macroeconomics and Reality,10.2307/1912017,1,No,1980
1222,BIOMEDICAL EVALUATION OF VERREAUX'S SIFAKA (<i>PROPITHECUS VERREAUXI</i>) FROM KIRINDY MITEA NATIONAL PARK IN MADAGASCAR,10.1638/2013-0038R1.1,1,No,2014
1221,"Field Anesthesia of Wild Ring-tailed Lemurs (Lemur catta) Using Tiletamine–Zolazepam, Medetomidine, and Butorphanol",10.1638/2010-0144.1,1,No,2011
1220,Comparison of Biomedical Evaluation for White-Fronted Brown Lemurs (Eulemur fulvus albifrons) from Four Sites in Madagascar,10.1638/2007-0137.1,1,No,2008
1199,"Empathy in Clinical Practice: How Individual Dispositions, Gender, and Experience Moderate Empathic Concern, Burnout, and Emotional Distress in Physicians",10.1371/journal.pone.0061526,1,No,2013
1197,Large-Scale Changes in Community Composition: Determining Land Use and Climate Change Signals,10.1371/journal.pone.0035272,1,No,2012
1196,Suppression of Inflammatory Immune Responses in Celiac Disease by Experimental Hookworm Infection,10.1371/journal.pone.0024092,1,No,2011
1195,Impact of Schistosoma japonicum Infection on Collagen-Induced Arthritis in DBA/1 Mice: A Murine Model of Human Rheumatoid Arthritis,10.1371/journal.pone.0023453,1,No,2011
1194,Symptoms after Ingestion of Pig Whipworm Trichuris suis Eggs in a Randomized Placebo-Controlled Double-Blind Clinical Trial,10.1371/journal.pone.0022346,1,No,2011
1193,Schistosome Infection Intensity Is Inversely Related to Auto-Reactive Antibody Levels,10.1371/journal.pone.0019149,1,No,2011
1192,Effect of Hookworm Infection on Wheat Challenge in Celiac Disease – A Randomised Double-Blinded Placebo Controlled Trial,10.1371/journal.pone.0017366,1,No,2011
1191,Regulatory and Activated T Cells in Human Schistosoma haematobium Infections,10.1371/journal.pone.0016860,1,No,2011
1190,IL-33 Is Produced by Mast Cells and Regulates IgE-Dependent Inflammation,10.1371/journal.pone.0011944,1,No,2010
1189,"Immunological Interactions between 2 Common Pathogens, Th1-Inducing Protozoan Toxoplasma gondii and the Th2-Inducing Helminth Fasciola hepatica",10.1371/journal.pone.0005692,1,No,2009
1188,Chronic Helminth Infection Does Not Exacerbate Mycobacterium tuberculosis Infection,10.1371/journal.pntd.0001970,1,No,2012
1187,A Research Agenda for Helminth Diseases of Humans: The Problem of Helminthiases,10.1371/journal.pntd.0001582,1,No,2012
1186,CD4+CD25+ Regulatory Cells Contribute to the Regulation of Colonic Th2 Granulomatous Pathology Caused by Schistosome Infection,10.1371/journal.pntd.0001269,1,No,2011
1185,Filarial Lymphedema Is Characterized by Antigen-Specific Th1 and Th17 Proinflammatory Responses and a Lack of Regulatory T Cells,10.1371/journal.pntd.0000420,1,No,2009
1184,"Neglected Tropical Diseases in Sub-Saharan Africa: Review of Their Prevalence, Distribution, and Disease Burden",10.1371/journal.pntd.0000412,1,No,2009
1183,"Incorporating a Rapid-Impact Package for Neglected Tropical Diseases with Programs for HIV/AIDS, Tuberculosis, and Malaria",10.1371/journal.pmed.0030102,1,No,2006
1182,Control of soft X-ray high harmonic spectrum by using two-color laser pulses,10.1364/PRJ.6.000434,1,No,2018
1181,Polarization-sensitive optical diffraction tomography,10.1364/OPTICA.415343,1,No,2021
1198,Helminth Antigens Enable CpG-Activated Dendritic Cells to Inhibit the Symptoms of Collagen-induced Arthritis through Foxp3+ Regulatory T Cells,10.1371/journal.pone.0040356,1,No,2012
1200,Arginase-1–Expressing Macrophages Suppress Th2 Cytokine–Driven Inflammation and Fibrosis,10.1371/journal.ppat.1000371,1,No,2009
1219,"BIOMEDICAL EVALUATION OF FREE-RANGING RING-TAILED LEMURS (LEMUR CATTA) IN THREE HABITATS AT THE BEZA MAHAFALY SPECIAL RESERVE, MADAGASCAR",10.1638/1042-7260(2007)038[0201:BEOFRL]2.0.CO;2,1,No,2007
1201,Retnla (Relmα/Fizz1) Suppresses Helminth-Induced Th2-Type Immunity,10.1371/journal.ppat.1000393,1,No,2009
1218,"BIOMEDICAL EVALUATION OF FREE-RANGING RING-TAILED LEMURS (LEMUR CATTA) IN TSIMANAMPETSOTSA STRICT NATURE RESERVE, MADAGASCAR",10.1638/1042-7260(2003)34[0016:BEOFRL]2.0.CO;2,1,No,2003
1217,HEMATOLOGIC AND PLASMA BIOCHEMICAL VALUES FOR TONKEAN MACAQUES (MACACA TONKEANA),10.1638/1042-7260(2000)031[0179:HAPBVF]2.0.CO;2,1,No,2000
1216,"Biomedical Evaluation of Free-Ranging Red Ruffed Lemurs (Varecia rubra) Within the Masoala National Park, Madagascar",10.1638/06-062.1,1,No,2008
1215,"BIOMEDICAL EVALUATION OF BLACK LEMURS (EULEMUR MACACO MACACO) IN LOKOBE RESERVE, MADAGASCAR",10.1638/06-006.1,1,No,2007
1214,"BIOMEDICAL EVALUATION OF TWO SYMPATRIC LEMUR SPECIES (PROPITHECUS VERREAUXI DECKENI AND EULEMUR FULVUS RUFUS) IN TSIOMBOKIBO CLASSIFIED FOREST, MADAGASCAR",10.1638/05-025.1,1,No,2005
1213,Geographical patterns and partition of turnover and richness components of beta-diversity in faunas from Tocantins river valley,10.1590/S1519-69842012000300012,1,No,2012
1212,Nutritional value and metal content profile of Greek wild edible fungi,10.1556/AAlim.36.2007.1.11,1,No,2007
1211,Cluster (School) RCT of ParentCorps: Impact on Kindergarten Academic Achievement,10.1542/peds.2012-2632,1,No,2013
1210,"Family history models of alcoholism: age of onset, consequences and dependence.",10.15288/jsa.1993.54.164,1,No,1993
1209,The Semantic Network at Work and Rest: Differential Connectivity of Anterior Temporal Lobe Subregions,10.1523/JNEUROSCI.2999-15.2016,1,No,2016
1208,Dissociation of Automatic and Strategic Lexical-Semantics: Functional Magnetic Resonance Imaging Evidence for Differing Roles of Multiple Frontotemporal Regions,10.1523/JNEUROSCI.0808-06.2006,1,No,2006
1207,Modulation by estradiol of serotonin receptors in brain,10.1523/JNEUROSCI.02-02-00199.1982,1,No,1982
1206,Time Series Analysis,10.1515/9780691218632,1,No,1994
1205,Exhaled Nitric Oxide and Breath Condensate pH in Asthmatic Reactions Induced by Isocyanates,10.1378/chest.08-2338,1,No,2009
1204,Th2 Cell-Intrinsic Hypo-Responsiveness Determines Susceptibility to Helminth Infection,10.1371/journal.ppat.1003215,1,No,2013
1203,Evolution of Th2 Immunity: A Rapid Repair Response to Tissue Destructive Pathogens,10.1371/journal.ppat.1002003,1,No,2011
1202,A Helminth Immunomodulator Exploits Host Signaling Events to Regulate Cytokine Production in Macrophages,10.1371/journal.ppat.1001248,1,No,2011
1262,"Automated Microseismic Event Detection and Location by Continuous Spatial 
Mapping",10.2523/95513-MS,1,No,2007
1263,Ecology and management of the commercially harvested American matsutake.,10.2737/PNW-GTR-412,1,No,1997
1264,T cell senescence,10.2741/A610,1,No,2001
1326,Alternatively Activated Macrophages in Intestinal Helminth Infection: Effects on Concurrent Bacterial Colitis,10.4049/jimmunol.179.7.4721,1,No,2007
1324,"Cutting Edge: IPSE/alpha-1, a Glycoprotein from <i>Schistosoma mansoni</i> Eggs, Induces IgE-Dependent, Antigen-Independent IL-4 Production by Murine Basophils In Vivo",10.4049/jimmunol.178.10.6023,1,No,2007
1323,Removal of Regulatory T Cell Activity Reverses Hyporesponsiveness and Leads to Filarial Parasite Clearance In Vivo,10.4049/jimmunol.174.8.4924,1,No,2005
1322,Helminth Infection Protects Mice from Anaphylaxis via IL-10-Producing B Cells,10.4049/jimmunol.173.10.6346,1,No,2004
1321,A Novel Therapeutic Approach Targeting Articular Inflammation Using the Filarial Nematode-Derived Phosphorylcholine-Containing Glycoprotein ES-62,10.4049/jimmunol.171.4.2127,1,No,2003
1320,<scp>l</scp>-Arginine Consumption by Macrophages Modulates the Expression of CD3ζ Chain in T Lymphocytes,10.4049/jimmunol.171.3.1232,1,No,2003
1319,Activation of TGF-β by<i>Leishmania chagasi</i>: Importance for Parasite Survival in Macrophages,10.4049/jimmunol.170.5.2613,1,No,2003
1318,A Filarial Nematode-Secreted Product Signals Dendritic Cells to Acquire a Phenotype That Drives Development of Th2 Cells,10.4049/jimmunol.164.12.6453,1,No,2000
1317,IL-10 Regulates Liver Pathology in Acute Murine<i>Schistosomiasis mansoni</i>But Is Not Required for Immune Down-Modulation of Chronic Disease,10.4049/jimmunol.160.9.4473,1,No,1998
1316,B Cell Sensitization to Helminthic Infection Develops In Utero in Humans,10.4049/jimmunol.160.7.3578,1,No,1998
1315,IL-4 treatment can cure established gastrointestinal nematode infections in immunocompetent and immunodeficient mice.,10.4049/jimmunol.154.9.4675,1,No,1995
1314,Prevention and treatment of chronic relapsing experimental allergic encephalomyelitis by transforming growth factor-beta 1,10.4049/jimmunol.146.9.3012,1,No,1991
1313,The role of L3T4+ and Lyt-2+ T cells in the IgE response and immunity to Nippostrongylus brasiliensis.,10.4049/jimmunol.140.9.3206,1,No,1988
1312,Two types of murine helper T cell clone. I. Definition according to profiles of lymphokine activities and secreted proteins.,10.4049/jimmunol.136.7.2348,1,No,1986
1311,Parasite Infections in Multiple Sclerosis Modulate Immune Responses through a Retinoic Acid–Dependent Pathway,10.4049/jimmunol.1301110,1,No,2013
1310,Thymic Stromal Lymphopoietin-Dependent Basophils Promote Th2 Cytokine Responses following Intestinal Helminth Infection,10.4049/jimmunol.1200691,1,No,2012
1309,<i>Heligmosomoides polygyrus bakeri</i> Induces Tolerogenic Dendritic Cells that Block Colitis and Prevent Antigen-Specific Gut T Cell Responses,10.4049/jimmunol.1102892,1,No,2012
1308,Helminth Protection against Autoimmune Diabetes in Nonobese Diabetic Mice Is Independent of a Type 2 Immune Shift and Requires TGF-β,10.4049/jimmunol.1100335,1,No,2012
1325,Infection with a Helminth Parasite Prevents Experimental Colitis via a Macrophage-Mediated Mechanism,10.4049/jimmunol.178.7.4557,1,No,2007
1327,IL-23 Is Required for the Development of Severe Egg-Induced Immunopathology in Schistosomiasis and for Lesional Expression of IL-17,10.4049/jimmunol.180.4.2486,1,No,2008
1306,Impaired Basophil Induction Leads to an Age-Dependent Innate Defect in Type 2 Immunity during Helminth Infection in Mice,10.4049/jimmunol.1002995,1,No,2011
1328,A Helminth Immunomodulator Reduces Allergic and Inflammatory Responses by Induction of IL-10-Producing Macrophages,10.4049/jimmunol.180.6.4265,1,No,2008
1345,Cultural sensitivity in the donation discussion,10.7182/prtr.13.1.0487n378n55w8157,1,No,2003
1344,Experimental transition probabilities for spectral lines of seventy elements :,10.6028/NBS.MONO.53,1,No,2015
1343,Teaching by Examples: Roman,10.5949/liverpool/9780859894777.003.0002,1,No,1996
1342,Proximate and mineral analysis of some wild edible mushrooms,10.5897/AJB11.590,1,No,2012
1341,Can empathy be preserved in medical education?,10.5116/ijme.5e83.31cf,1,No,2020
1340,Calcium Phosphate Scaffold Loaded with Platinum Nanoparticles for Bone Allograft,10.5099/aj130400242,1,No,2013
1339,Structuralist Poetics,10.4324/9780203449769,1,No,2010
1338,Nutritional and Medicinal Value of Specialty Mushrooms,10.4315/0362-028X-53.10.883,1,No,1990
1337,Limestone cliff - face and cave use by wild ring-tailed lemurs (&lt;i&gt;Lemur catta&lt;/i&gt;) in southwestern Madagascar,10.4314/mcd.v8i2.5,1,No,2013
1336,Vertex operator algebras of rank $2$: The Mathur–Mukhi–Sen theorem revisited,10.4310/CNTP.2021.v15.n1.a2,1,No,2021
1335,Vertex operator algebras with central charges 164/5 and 236/7,10.4310/CNTP.2020.v14.n3.a2,1,No,2020
1334,DOSE-RANGING STUDY FOR TRIALS OF THERAPEUTIC INFECTION WITH NECATOR AMERICANUS IN HUMANS,10.4269/ajtmh.2006.75.914,1,No,2006
1333,Promised Verse,10.4159/harvard.9780674437302,1,No,1993
1332,ON FOURIER COEFFICIENTS OF SOME MEROMORPHIC MODULAR FORMS,10.4134/BKMS.2012.49.6.1349,1,No,2012
1331,Second order modular forms,10.4064/aa103-3-2,1,No,2008
1330,Cancer-Expanded Myeloid-Derived Suppressor Cells Induce Anergy of NK Cells through Membrane-Bound TGF-β1,10.4049/jimmunol.182.1.240,1,No,2009
1329,Colonization with <i>Heligmosomoides polygyrus</i> Suppresses Mucosal IL-17 Production,10.4049/jimmunol.181.4.2414,1,No,2008
1307,Chronic Helminth Infection Promotes Immune Regulation In Vivo through Dominance of CD11cloCD103− Dendritic Cells,10.4049/jimmunol.1003636,1,No,2011
1305,<i>Heligmosomoides polygyrus</i> Infection Can Inhibit Colitis through Direct Interaction with Innate Immunity,10.4049/jimmunol.1000941,1,No,2010
1265,Macroeconomic Variables and the Housing Market in Turkey,10.2753/REE1540-496X430501,1,No,2007
1284,Evaluation of the Chemical and Antioxidant Properties of Wild and Cultivated Mushrooms of Ghana,10.3390/molecules191219532,1,No,2014
1282,Fabrication of Scaffolds for Bone-Tissue Regeneration,10.3390/ma12040568,1,No,2019
1281,Development of Useful Biomaterial for Bone Tissue Engineering by Incorporating Nano-Copper-Zinc Alloy (nCuZn) in Chitosan/Gelatin/Nano-Hydroxyapatite (Ch/G/nHAp) Scaffold,10.3390/ma10101177,1,No,2017
1280,Roadmap on Digital Holography-Based Quantitative Phase Imaging,10.3390/jimaging7120252,1,No,2021
1279,Organization of Bone Mineral: The Role of Mineral–Water Interactions,10.3390/geosciences8120466,1,No,2018
1278,Gelatin Nanoparticles for Targeted Dual Drug Release out of Alginate-di-Aldehyde-Gelatin Gels,10.3390/gels8060365,1,No,2022
1277,Osteoconductive and Osteoinductive Surface Modifications of Biomaterials for Bone Regeneration: A Concise Review,10.3390/coatings10100971,1,No,2020
1276,What do verbal fluency tasks measure? Predictors of verbal fluency performance in older adults,10.3389/fpsyg.2014.00772,1,No,2014
1275,An in vivo Comparison Study Between Strontium Nanoparticles and rhBMP2,10.3389/fbioe.2020.00499,1,No,2020
1274,Use of Nanoparticles in Tissue Engineering and Regenerative Medicine,10.3389/fbioe.2019.00113,1,No,2019
1273,Fatty acid compositions and ergosterol contents of edible mushrooms.,10.3136/nskkk1962.31.11_732,1,No,1984
1272,"Sterol, Structure and Membrane Function",10.3109/10409238309102790,1,No,1983
1271,Fatty acid and amino acid compositions of selected wild-edible mushrooms consumed in Turkey,10.3109/09637486.2010.533160,1,No,2011
1270,Reconsidering the “decline” of medical student empathy as reported in studies using the Jefferson Scale of Physician Empathy-Student version (JSPE-S),10.3109/0142159X.2015.1009022,1,No,2015
1269,Characterizing changes in student empathy throughout medical school,10.3109/0142159X.2012.644600,1,No,2012
1268,"Vertex operator algebras, minimal models, and modular linear differential equations of order 4",10.2969/jmsj/74957495,1,No,2018
1267,On vector differential forms attached to automorphic forms.,10.2969/jmsj/01230258,1,No,1960
1266,Scientific Opinion on Dietary Reference Values for carbohydrates and dietary fibre,10.2903/j.efsa.2010.1462,1,No,2010
1283,3D-Printing of Hierarchically Designed and Osteoconductive Bone Tissue Engineering Scaffolds,10.3390/ma13081836,1,No,2020
1285,3D Printed Scaffold Based on Type I Collagen/PLGA_TGF-β1 Nanoparticles Mimicking the Growth Factor Footprint of Human Bone Tissue,10.3390/polym14050857,1,No,2022
1304,"Th1, Th17, and Th9 Effector Cells Induce Experimental Autoimmune Encephalomyelitis with Different Pathological Phenotypes",10.4049/jimmunol.0901906,1,No,2009
1286,Design and manufacture AR head-mounted displays: A review and outlook,10.37188/lam.2021.024,1,No,2021
1303,Infection with a Helminth Parasite Attenuates Autoimmunity through TGF-β-Mediated Suppression of Th17 and Th1 Responses,10.4049/jimmunol.0803803,1,No,2009
1302,Regulatory T Cells: A Role in the Control of Helminth-Driven Intestinal Pathology and Worm Survival,10.4049/jimmunol.0802767,1,No,2009
1301,Imaging hydraulic fracture zones from surface passive microseismic data,10.3997/1365-2397.25.10.27670,1,No,2007
1300,Chemical Compositions and Antioxidant Activities of 16 Wild Edible Mushroom Species Grown in Anatolia,10.3923/ijp.2012.134.138,1,No,2012
1299,"The Fifteenth Data Release of the Sloan Digital Sky Surveys: First Release of MaNGA-derived Quantities, Data Visualization Tools, and Stellar Library",10.3847/1538-4365/aaf651,1,No,2019
1298,Estimating Dust Attenuation From Galactic Spectra. II. Stellar and Gas Attenuation in Star-forming and Diffuse Ionized Gas Regions in MaNGA,10.3847/1538-4357/ac0973,1,No,2021
1297,Estimating Dust Attenuation from Galactic Spectra. I. Methodology and Tests,10.3847/1538-4357/ab92a1,1,No,2020
1296,SDSS-IV MaNGA: Variation of the Stellar Initial Mass Function in Spiral and Early-type Galaxies,10.3847/1538-4357/aa662a,1,No,2017
1295,The Stellar Initial Mass Function in Early-type Galaxies from Absorption Line Spectroscopy. IV. A Super-Salpeter IMF in the Center of NGC 1407 from Non-parametric Models,10.3847/1538-4357/aa6190,1,No,2017
1294,"SDSS-IV MaNGA IFS GALAXY SURVEY—SURVEY DESIGN, EXECUTION, AND INITIAL DATA QUALITY",10.3847/0004-6256/152/6/197,1,No,2016
1293,Character Vectors of Strongly Regular Vertex Operator Algebras,10.3842/SIGMA.2022.085,1,No,2022
1292,Concreteness ratings for 40 thousand generally known English word lemmas,10.3758/s13428-013-0403-5,1,No,2014
1291,Semantic diversity: A measure of semantic ambiguity based on variability in the contextual usage of words,10.3758/s13428-012-0278-x,1,No,2013
1290,"Age-of-acquisition ratings for 30,000 English words",10.3758/s13428-012-0210-4,1,No,2012
1289,Putting concepts into context,10.3758/s13423-015-0948-7,1,No,2016
1288,Selection from perceptual and conceptual representations,10.3758/CABN.4.4.466,1,No,2004
1287,Aging and time-sharing aspects of executive control,10.3758/BF03194958,1,No,2002
1180,Spatially multiplexed dielectric tensor tomography,10.1364/OL.474969,1,No,2022
1179,Extension of water-window harmonic cutoff by laser defocusing-assisted phase matching,10.1364/OL.43.004433,1,No,2018
1178,Time-multiplexed structured illumination using a DMD for optical diffraction tomography,10.1364/OL.42.000999,1,No,2017
1073,Towards the Design of 3D Fiber-Deposited Poly( -caprolactone)/Iron-Doped Hydroxyapatite Nanocomposite Magnetic Scaffolds for Bone Regeneration,10.1166/jbn.2015.2065,1,No,2015
1071,"ATS/ERS Recommendations for Standardized Procedures for the Online and Offline Measurement of Exhaled Lower Respiratory Nitric Oxide and Nasal Nitric Oxide, 2005",10.1164/rccm.200406-710ST,1,No,2005
1070,Guidelines for Methacholine and Exercise Challenge  Testing—1999,10.1164/ajrccm.161.1.ats11-99,1,No,2000
1069,"Starvation, Energy Reserves, and Aggression in the Crayfish Orconectes Virilis (Hagen, 1870) (Decapoda, Cambaridae)",10.1163/156854075X00801,1,No,1975
1068,Water and Wine as Symbols of Inspiration,10.1163/156852579X00192,1,No,1979
1067,Going beyond Inferior Prefrontal Involvement in Semantic Control: Evidence for the Additional Contribution of Dorsal Angular Gyrus and Posterior Middle Temporal Cortex,10.1162/jocn_a_00442,1,No,2013
1066,Semantic Diversity Accounts for the “Missing” Word Frequency Effect in Stroke Aphasia: Insights Using a Novel Method to Quantify Contextual Variability in Meaning,10.1162/jocn.2011.21614,1,No,2011
1065,Elucidating the Nature of Deregulated Semantic Cognition in Semantic Aphasia: Evidence for the Roles of Prefrontal and Temporo-parietal Cortices,10.1162/jocn.2009.21289,1,No,2010
1064,Co-localization of Stroop and Syntactic Ambiguity Resolution in Broca's Area: Implications for the Neural Basis of Sentence Processing,10.1162/jocn.2008.21179,1,No,2009
1063,Patients With Ischemic Stroke and Incident Atrial Fibrillation,10.1161/STROKEAHA.115.010270,1,No,2015
1062,Impact of Sapien 3 Balloon-Expandable Versus Evolut R Self-Expandable Transcatheter Aortic Valve Implantation in Patients With Aortic Stenosis,10.1161/CIRCULATIONAHA.119.043971,1,No,2020
1061,Cardiovascular Risk and Risk Factor Management in Type 2 Diabetes Mellitus,10.1161/CIRCULATIONAHA.118.039100,1,No,2019
1060,Incidence of Hospitalization for Heart Failure and Case-Fatality Among 3.25 Million People With and Without Diabetes Mellitus,10.1161/CIRCULATIONAHA.118.034986,1,No,2018
1059,Rapid Decrease in Populations of Wild Ring-Tailed Lemurs (Lemur catta) in Madagascar,10.1159/000455121,1,No,2017
1058,Generalized Anxiety Disorders,10.1159/000414021,1,No,2015
1057,"Ring-Tailed Lemur (Lemur catta) Health Parameters across Two Habitats with Varied Levels of Human Disturbance at the Bezà Mahafaly Special Reserve, Madagascar",10.1159/000369554,1,No,2015
1056,Nosological Status of Endogenous Anxiety: ‘Anxious Thymopathy’ Revisited,10.1159/000284226,1,No,1985
1055,Cholesterol-Lowering Effect of the Mushroom Pleurotus ostreatus in Hereditary Hypercholesterolemic Rats,10.1159/000177644,1,No,1991
1072,Helminth-derived Products Inhibit the Development of Allergic Responses in Mice,10.1164/rccm.200601-054OC,1,No,2007
1074,Nanostructured Surface Modification to Bone Implants for Bone Regeneration,10.1166/jbn.2018.2516,1,No,2018
1053,T-Cell Regulation in Helminth Parasite Infections: Implications for Inflammatory Diseases,10.1159/000154944,1,No,2008
1075,Helminth infections: the great neglected tropical diseases,10.1172/JCI34261,1,No,2008
1092,“It’s on the MCAT for a Reason”,10.1177/0092055X15624744,1,No,2016
1091,Is There Long-run Convergence among Regional House Prices in the UK?,10.1177/0042098008091489,1,No,2008
1090,The Resurgence of Medical Education in Sociology: A Return to Our Roots and an Agenda for the Future,10.1177/0022146521996275,1,No,2021
1089,"Organ Donation and Hispanic American High School Students: Attitudes, Beliefs, Perceptions, and Intent to Donate",10.1177/000313481207800232,1,No,2012
1088,"Influence of Psychiatric Comorbidity on Recovery and Recurrence in Generalized Anxiety Disorder, Social Phobia, and Panic Disorder: A 12-Year Prospective Study",10.1176/appi.ajp.162.6.1179,1,No,2005
